,Mid-2014 or latest available estimate,,
County,Refugees,IDPs protected/assisted by UNHCR,Total population of concern
Democratic Republic of the Congo,117907,2611558,3045232
Sudan,205174,2089100,2479885
South Sudan,240673,1251050,1556351
Somalia,2502,1133000,1165505
Central Africa Republic,7753,535000,911706
Ethiopia,587708,-,590071
Kenya,537021,,589772
Uganda,358453,-,440464
South Africa,65668,-,309616
Mali,14525,128866,287166
United Republic of Tanzania,90650,-,253190
Burundi,47805,78948,138545
Libya,25561,63985,108594
Broader region,,,
Central Africa-Great Lakes,602134,3225506,4721057
East and Horn of Africa,2410283,4473150,7326300
Southern Africa,134705,60139,518686
West Africa,237610,152866,1292293
AFRICA,3384732,7911667,13858336
