Crime Type,2013,2014,2015,2016
Offences Against Person,,,,
"",,,,
Killings/Murder,"3,929","3,775","3,560","3,318"
Rape,"6,105","6,028","5,802","7,645"
Un-natural Offence,820,944,928,"1,202"
Child Stealing,192,146,146,170
Child Desertion,243,237,205,159
Defilement,10,15,12,18
Human Trafficking,36,21,45,55
Total,"11,335","11,166","10,698","12,567"
Offences Related to Property,,,,
"",,,,
Guns theft / theft of Arms,76,59,53,33
Robbery in Highway,3,-,3,29
Armed Robbery,"1,266","1,127",913,726
Robbery with Violence,"5,710","5,294","4,507","3,945"
Robbery through fire arms -Breaking in,"23,017","21,479","20,337","19,803"
Property theft,,,179,193
Theft of Motorcycle,"4,695","5,232","5,317","5,633"
Theft of motor vehicles,464,427,488,452
Fake money  -Counterfeiting  of Bank Notes,664,517,416,563
Livestock theft,"5,307","5,119","4,879","5,106"
Bank robbery,116,55,45,23
Theft in the public sectors -Parastatal Organization,158,59,72,90
Theft in the trade unions/Cooperative union,13,32,2,56
Theft in the Local Government,11,6,11,152
Crime Type,2013,2014,2015,2016
Theft in the Central Government,14,8,11,38
Theft in political parties,-,2,12,0
House burning/arson cases,"2,402","2,293","2,031","1,962"
Fire accidents,369,740,577,828
Counterfeits/Forgery,300,316,577,"1,068"
Total,"45,585","42,765","40,430","40,700"
Offences against Public Tranquility,,,,
"",,,,
Unlawful Possession of Arms,606,355,444,472
Illicit Drugs,479,480,481,679
Possession of Bhang,6821,6747,"7,550","8,910"
Possession of Bhang Farms,0,57,85,102
Possession of Khat,1331,1206,"1,272","1,465"
Government trophies,884,610,982,"1,087"
Smuggling,61,79,72,246
Corruption,15,3,6,14
Illicit local liquor,5064,4669,"5,321","6,977"
Manufacture Instruments of Local Liquor,162,263,367,560
Unlawful Possession of Ammunition,114,98,116,97
Unlawful possession of bombs,6,13,12,15
Illegal Fishing,0,0,33,149
Illegal possession of Forest products,0,0,17,223
Illegal possession of Sea products,0,0,0,3
Illegal Immigrant,871,599,928,"1,221"
Total,"16,414","15,179","17,686","22,220"
Crime Type,2013,2014,2015,2016
"Road Traffic Accidents, Death and Injured Persons",,,,
"",,,,
Major,"24,480","15,420","8,777","10,297"
Minor,"663,722","1,110,252","1,381,705","2,200,442"
Total,"688,202","1,125,672","1,390,482","2,210,739"
Road accidents,"24,480","15,420","8,777","10,297"
Fatal accidents,"3,545","3,106","2,909","2,840"
Deaths,"4,091","3,857","3,574","3,381"
Injured Persons,"21,536","15,230","9,993","9,549"
